Block Name,Count
WALLAA06.RMB,1433
WALLAA04.RMB,1433
WALLAA07.RMB,1423
WALLAA05.RMB,1423
SHCKAA00.RMB,1158
TEMPAAH0.RMB,641
GENRAS01.RMB,576
GENRAS00.RMB,572
GENRAS02.RMB,560
GENRAM00.RMB,521
GENRAM02.RMB,500
GENRAM01.RMB,500
SHRIAA00.RMB,475
TEMPAAC0.RMB,445
MANRAS00.RMB,418
WALLAA02.RMB,410
WALLAA10.RMB,410
WALLAA03.RMB,410
WALLAA09.RMB,410
WALLAA11.RMB,410
WALLAA00.RMB,410
WALLAA08.RMB,410
WALLAA01.RMB,410
TEMPAAA0.RMB,396
MANRAS01.RMB,389
MANRAS02.RMB,389
TEMPAAF0.RMB,357
THIEAL00.RMB,338
THIEAM00.RMB,336
TEMPAAG0.RMB,320
TEMPAAB0.RMB,297
TVRNAS04.RMB,250
RESIAS02.RMB,243
DARKAA01.RMB,236
TEMPAAD0.RMB,235
RESIAS07.RMB,233
RESIAS01.RMB,232
RESIAS09.RMB,230
RESIAS03.RMB,229
TVRNAS05.RMB,225
RESIAM06.RMB,225
TVRNAS01.RMB,222
RESIAM10.RMB,219
RESIAM08.RMB,218
DARKAA00.RMB,218
FIGHAA01.RMB,217
RESIAS08.RMB,217
RESIAS00.RMB,215
TVRNAS00.RMB,214
TVRNAS02.RMB,214
TVRNAS09.RMB,213
RESIAS04.RMB,212
DARKAA02.RMB,209
RESIAS05.RMB,208
FIGHAA02.RMB,207
RESIAM07.RMB,207
RESIAM00.RMB,206
TVRNAS06.RMB,206
RESIAM02.RMB,205
TVRNAS08.RMB,203
FARMAA09.RMB,203
RESIAS06.RMB,203
GENRAL01.RMB,201
PAWNAM01.RMB,199
RESIAM01.RMB,199
FARMAA00.RMB,197
FARMAA06.RMB,196
TEMPAAE0.RMB,196
TVRNAS07.RMB,194
PAWNAM00.RMB,192
RESIAM05.RMB,192
RESIAM04.RMB,191
TVRNAS03.RMB,190
GENRAL03.RMB,190
FARMAA03.RMB,189
FARMAA02.RMB,188
FARMAA08.RMB,188
RESIAM09.RMB,184
FIGHAA00.RMB,184
GENRAL00.RMB,184
